 sin |       lat        |       lon        
-----+------------------+------------------
 854 |       23.5343284 |       87.2967216
 855 |       23.5426944 |       87.3339275
 671 |       22.9937848 |       88.4046274
 995 |       24.6642107 |       87.9462406
 352 |       22.9567432 |       88.4512302
 464 |       26.9450303 |       88.1869747
 874 |       25.3392095 |       88.7271026
 920 |       27.0378239 |        88.331373
 844 |       24.0747264 |       87.5721277
 848 |        23.873793 |       87.7416825
 00A |        23.431383 |       88.4059497
 897 |       22.0887141 |        87.761871
 870 |       24.1203426 |       87.6608133
 729 |       22.4361447 |       87.3116426
 00C |       23.0215482 |       87.0076197
 00H |       25.7312354 |       88.1263705
 888 |       22.9716592 |       87.1764456
 922 |       22.2651537 |       87.8985375
 831 |        21.793553 |       87.5117237
 813 |       22.1650961 |       87.6753539
 489 |       22.0621342 |       88.0421701
 00K |       26.4185651 |       88.2736386
 952 |  23.429959868679 | 86.4869663491845
 996 |       23.3447934 |       88.0387368
 858 |       23.5094095 |        87.308472
 988 |        23.173539 |       88.7343373
 00O |       22.8165863 |       88.4023523
 992 |       25.2286846 |       88.5782652
 953 |       23.6996465 |       86.8698201
 890 |       26.6986478 |        88.378804
 01A |       22.9223917 |       88.8037026
 784 |       23.6056896 |       88.5269499
 358 |       23.4018433 |       88.3581117
 916 |       24.5102518 |        88.028177
 985 |       24.3015892 |       88.0308308
 647 |       22.7351579 |       88.3406513
 00F |       22.4150678 |       88.3979813
 921 |       22.6263869 |       88.4913832
 515 |       23.2460133 |       87.8607824
 899 |       24.0401764 |       87.9791087
 895 |       26.2345378 |        89.477623
 00M |       26.1463184 |       89.3914192
 765 |       26.1703888 |       89.7130653
 883 |        22.735907 |        87.452632
 00I |       22.4045019 |       88.4144291
 01I |       26.4771951 |       88.8531771
 984 |       24.8013417 |       88.0575433
 836 |       22.5495033 |       88.5709197
 28A |        25.462276 |        87.909204
 00R |       25.4258246 |       87.8780741
 00N |       22.6178827 |       88.2867024
 893 |        22.815424 |       88.7459509
 950 |       22.9310455 |        86.978572
 01S |        26.305465 |       89.6009798
 930 |       23.6615887 |       87.0655117
 908 |       23.0749524 |       88.0857051
 622 |       22.5780697 |       88.4607577
 624 |       22.5782452 |       88.4844627
 577 |       22.5841017 |       88.4484319
 819 |       22.5641184 |       88.5140116
 821 |       22.5563838 |       88.5024764
 818 |       22.5622576 |       88.4887794
 632 |       22.5915277 |       88.4793648
 625 |       22.6113999 |       88.4736947
 626 |       22.6258964 |       88.4655168
 627 |       22.6280682 |       88.4595165
 630 |       22.5669355 |       88.4954504
 01U |       23.9850007 |       88.2405913
 01L |       22.9627616 |       87.4783182
 00L |       22.5568748 |       87.4073838
 00Y |       25.4562344 |       88.6102023
 764 |       22.5815799 |       88.4920095
 763 |       22.6019721 |       88.4775067
 00D |       25.4310541 |       88.0867052
 623 | 22.5790708307229 | 88.4800964221358
 629 | 22.5707996033712 | 88.5161248594522
 827 | 22.5715568730353 | 88.5068977251649
 972 |       24.3266386 |        88.303258
 01V |       26.9761011 |       88.2739153
 00P |       23.2014428 |       87.8371317
 01W |        23.127999 |       87.8501649
 775 |       24.0151558 |       88.6649291
 535 | 22.5812477617325 | 88.4306794032455
 00W |       22.5756835 |       87.5985894
 884 |        22.788421 |       87.1140465
 937 |       26.9446511 |       88.3587894
 954 |       23.4704943 |        87.448281
 991 |        25.050097 |        88.135008
