iter	Passed	Remaining
0	158	31510
1	161	16027
2	165	10858
3	168	8279
4	172	6732
5	176	5692
6	179	4949
7	183	4395
8	186	3963
9	190	3615
10	193	3328
11	198	3104
12	201	2897
13	204	2718
14	208	2572
15	212	2447
16	216	2335
17	220	2230
18	224	2135
19	228	2052
20	231	1976
21	235	1905
22	239	1839
23	242	1777
24	245	1721
25	249	1668
26	252	1619
27	256	1573
28	259	1531
29	263	1493
30	267	1455
31	270	1420
32	274	1386
33	277	1355
34	281	1326
35	285	1299
36	289	1273
37	292	1248
38	296	1223
39	299	1199
40	303	1176
41	307	1155
42	310	1134
43	314	1113
44	317	1094
45	321	1074
46	324	1056
47	327	1038
48	331	1021
49	334	1004
50	338	988
51	341	973
52	345	958
53	348	943
54	352	928
55	355	915
56	359	901
57	362	888
58	366	876
59	370	864
60	374	852
61	377	840
62	381	830
63	385	818
64	389	808
65	392	797
66	396	787
67	400	776
68	403	766
69	407	756
70	411	746
71	414	737
72	418	727
73	421	718
74	425	709
75	429	700
76	432	691
77	436	683
78	440	674
79	444	666
80	447	658
81	451	649
82	454	641
83	458	633
84	462	625
85	465	617
86	469	609
87	472	601
88	476	593
89	479	585
90	482	577
91	485	570
92	488	562
93	492	554
94	495	547
95	498	539
96	501	532
97	504	525
98	508	518
99	512	512
100	515	505
101	519	498
102	522	492
103	525	485
104	529	479
105	532	472
106	536	466
107	539	459
108	542	453
109	546	446
110	549	440
111	552	434
112	555	427
113	559	421
114	563	416
115	567	410
116	570	404
117	574	399
118	578	393
119	581	387
120	585	382
121	589	376
122	592	370
123	595	364
124	598	359
125	601	353
126	605	348
127	609	342
128	612	337
129	616	331
130	620	326
131	623	321
132	627	316
133	631	310
134	634	305
135	638	300
136	642	295
137	645	290
138	649	285
139	653	279
140	656	274
141	660	269
142	664	264
143	667	259
144	671	254
145	675	249
146	678	244
147	682	239
148	686	234
149	689	229
150	692	224
151	696	219
152	699	214
153	703	209
154	706	204
155	709	200
156	712	195
157	715	190
158	718	185
159	722	180
160	725	175
161	729	171
162	732	166
163	735	161
164	738	156
165	742	152
166	746	147
167	749	142
168	753	138
169	757	133
170	760	129
171	764	124
172	768	119
173	771	115
174	775	110
175	779	106
176	783	101
177	786	97
178	789	92
179	793	88
180	796	83
181	800	79
182	804	74
183	808	70
184	811	65
185	815	61
186	819	56
187	822	52
188	825	48
189	829	43
190	832	39
191	836	34
192	839	30
193	843	26
194	846	21
195	850	17
196	853	13
197	857	8
198	861	4
199	865	0
